serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
64,Staff  Room Near  East  Side  2   Room Naranammalpuram.,St.Joseph High School,"1.Ward 2 Ananthakrishnapuram Asarimar  Street
2.Ward 1 Ananthakrishnapuram Solai  North Street
3.Ward 2 Ananthakrishnapuram Amman Kovil  Street
4.Ward 2 Ananthakrishnapuram Street
5.Ward 2 Ananthakrishnapuram Perumal  Sannathi  Street
6.Ward 5 Kattudaiyar  Kudieruppu North Street
7.Ward 5 Kattudaiyar  Kudieruppu Naduoor
8.Ward 2 Muthu Nagar  (Ananthakrishnapuram) 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,7.000000000000001
69,Eastern Part  Chathramkudieruppu.,"Panchayat  Primary School,  Thiruvalluvar  Nagar","1.Ward 14 Kamaraj  Nagar
2.Ward 14 Panchayat  Office  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,13.22436849925706
82,Near  HM Room Sankar  Nagar.,"Sankar  Hr.sec.School,  Main Building,  North Side  of  4A Room","1.Ward 1 Thathanoothu Second Street
2.Ward 2 Indira Nagar
3.Ward 4 Pandarakulam Fourth Street
4.Ward 4 Pandarakulam Fifth Street
5.Ward 4 Mahalakshmi Amman Kovil  Street
6.Ward 4 Nadar  Street
7.Ward 4 Chettiyar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,4.615384615384616
97,Vadakku Thalaiyuthu.,"Panchayat  Union Primary School,  South Building,  East Portion","1.Block 5 Sugathara Nilaya Street
2.Block 5 Ration Shop Street
3.Block 5 North Thaliyathu Main Road South Part
4.Block 5 Pumbuset  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,13.73626373626374
98,Keelathenkalam.,Community Hall  South Faced Building,"1.Block 2 Periyar  Nagar
2.Block 1 Velar  Street
3.Block 10 Post  Office  Street
4.Block 10 Mudukku Street
5.Block 11 Middle  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,0.1497005988023952
99,Keelathenkalam.,Community Hall   North Faced Building,"1.Block 2 Harijan Quarters
2.Block 3 Amman Kovil  Street
3.Block 2 Harijan Quarters Mariamman Kovil  Street
4.Block 3 Near  Bus Stop. 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,7.597535934291582
102,Government  ADW Primary School  Nallammalpuram,Government  ADW Primary School  Nallammalpuram,"1.Nallammalpuram
2.Gandhi  Nagar
3.Block 1 Puliankottaram North Street,  Middle  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,2.599179206566347
103,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,"1.Thenkalampudur  Muslim Street
2.Thenkalampudur  Muslim Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,7.575757575757576
104,Alavanthankulam.,"St.Anthoniyar  Hr.Sec School,  East  Building,  West  Portion Western   Side","1.Block 3 Alavanthankulam South Street
2.Block 3 Alavanthankulam Middle  Street
3.Block 3 Alavanthankulam North Street
4.Block 3 Alavanthankulam North Street  (West)
5.Block 3 Alavanthankulam Middle  Street  (West) 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,15.25423728813559
106,East  Portion Alavanthankulam.,"St.Anthoniyar   Hr.  Sec.  School,  East  Building","1.Block 1 Alavanthankulam North Street
2.Block 1 Alavanthankulam Middle  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,9.584086799276673
110,Mavadi.,"T.D.T.A Primary School,  West  Portion","1.Block 3 Ramasamiyapuram
2.Block 3 Ramasamiyapuram South Street
3.Block 3 Devar  Colony
4.Block 4 Indira Memorial  Colony
5.Block 4 Durkaiamman Kovil  Street
6.Block 4 Pillayar  Kovil  Street
7.Block 4 Vetha Kovil  Street
8.Block 5 Pillaiyar  Kovil  South Street  (Or)  9.Utchimahaliamman Kovil Street
Block 5 Salai  Pudhur
999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,12.93706293706294
112,Manur.,"Government  Girls High School,  Northern Portion,  East  Part",1.Block 1 North Street  Harijan Quarters 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,13.20754716981132
114,Manur.,"Government  Girls High School,  Northern Portion,  West  Part","1.Block 2 Kuppanapuram (Harijan Street)
2.Kuppanapuram (Harijan Quarters)
3.Kuppanapuram (Harijan Street)
4.Kuppanapuram (Harijan Street) 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,12.5948406676783
115,North Building West  Portion Manur.,Government  Hr.Sec.School,"1.Block 3 Manur  Keelatheru Kattapuli
2.Block 4 Lakshmipuram South Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,5.170239596469105
118,Parvathiyapuram,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, South Part","1.Sankarankovil  Road
2.South Street
3.Odakkarai. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,9.724238026124818
119,Kalakkudi.,"Panchayat  Union Primary School,  West  Building","1.Block 4 Kaspa East  Street
2.Block 4 Kaspa Keela Tenkarai  Street
3.Kaspa Perumal  Kovil  East  Street
4.Kaspa Perumal  Kovil  Middle  Street
5.Perumal  Kovil  West  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,8.60655737704918
121,Kalakkudi.,"Panchayat  Union Primary School,  North Building","1.Block 5 Adidiravidar  North Part  Street
2.Block 5 Adidiravidar  South Part  Street
3.Block 6 Adidiravidar  New Colony Street
4.Block 6 Adidiravidar  Old Colony Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,5.956678700361011
127,Thirumalapuram.,Panchayat  Union Primary School  Additional  Building,"1.Block 1 Madathur
2.Thirumalapuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,22.72727272727273
132,Uganthanpatti.,Saraswathi  Hindu Primary School,"1.Ward 2 Subramaniyapuram
2.Ward 2   North Street  Uganthanpatti
3.Ward 2   South Street  Uganthanpatti
4.Ward 2   Colony Street  Uganthanpatti 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,10.15801354401806
133,Vallavankottai.,"Hindu Primary School,  North Portion","1.Ward 1 Mariamman Kovil  Street
2.Ward 1 Amman Kovil  Street
3.Ward 1,2 Middle  Street
4.Ward 2 Puliyamara Street
5.Ward 2 Oorachimandra Street
6.Ward 2 Colony Street
7.Ward 2 West  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,3.373015873015873
134,South   Portion Vallavankottai.,Hindu Primary School,"1.Ward 1 East  Street  Thulukkarpatti
2.Ward 1 West  Street  Thulukkarpatti
3.Ward 1 Colony Street  Thulukkarpatti 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,7.5
135,Rastha.,"Panchayat  Union Primary School,  Northern Building","1.Pillaiyar  Kovil  Street
2.Pound Street
3.Esakkiamman Kovil  Street
4.Amman Kovil  Street
5.Perumal  Kovil  South Street
6.Perumal  Kovil  North Street
7.Colony East  Street
8.Colony West  Street
9.Colony North Street
10.Colony Middle  Street
11.Colony South Street
12.Pillayar  Kovil  Street  2
13.Colony South Street  2 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,20.86206896551724
136,Rastha.,"Panchayat  Union Primary School,  West  Building","1.East  Street
2.Pillaimar  Street
3.Veda kovil  South Street
4.Kombumadansamy Kovil  Street  Back Side
5.Kombumadansamy Kovil  Street
6.Water  Tank Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,8.134920634920634
137,Rastha.,"Panchayat  Union Primary School,  Southern Building","1.Vedakovil  Street
2.Amman Kovil  Street  1
3.South Street  1
4.Devar  Colony
5.Harijana Quarters South Street
6.Pillaiyar  Kovil  Street
7.Amman Kovil  Street  2
8.Middle  Street
9.Ration Shop Street 10Pillaiyar  Kovil  Street  2 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,7.218045112781955
138,Rastha.,"Panchayat  Union Middle  School,  Middle  Building","1.Asari  Street
2.Poolidevar  Street
3.Vannar  Street
4.Vedakovil  North Street
5.Pallivasal  Street
6.West  Street
7.South Street  2
8.East  Street
9.Arungankulam Kudieruppu 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,5.898876404494382
139,Sethurayanpudur.,"Panchayat  Union Primary School,  New Building","1.Ward 1 North Street  Devar  Paguthy
2.Ward 1 North Street
3.Ward 2 Selvanayagam Street
4.Ward 1 South Street
5.Ward 1 Nadar  Street
6.Ward 1 Kaspa Middle  Street
7.Ward 2 Adidiravidar  Colony
8.Industrial
9.Main Road 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,3.982930298719772
140,Nanjankulam.,"T.D.T.A Middle  School,  Northern Portion","1.Pillaiyar  Kovil  Street
2.North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,1.97841726618705
141,Nanjankulam,"T.D.T.A Middle  School,  Southern Portion","1.Middle  Street
2.Church Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,8.047690014903129
142,T.D.T.A Primary School  Entrance  Reoom Vepankulam,T.D.T.A Primary School  Entrance  Reoom Vepankulam,1.Ward 4 Veppankulam 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,14.17165668662675
144,west  Side Ramayanpatti.,"Adidiravidar  Primary School,  North Portion",1.Ward 5 Biramin Pillaimar  Street 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,8.24561403508772
147,Eastren Side Ramayanpatti.,"Adidiravidar  Primary School,  South Portion",1.Ward 8 Chathram Pudukulam Enam Theneerkulam 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,7.045009784735812
148,East  Building   2nd Room Ramayanpatti.,Adidiravidar  High School,1.Yadav Harijan Street 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,21.89349112426036
150,West Side  Ramayanpatti.,Swamy Vivekananda Kinder  Garden & Nursery School,"1.Ward 9 Vellakkovil  Street
2.Ward 9 Main Road Ramayanpatti
3.Ward 9 Panchayat  Office  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,7.243816254416961
152,West  Side Kammalankulam.,Panchayat  Union Middle  School,1.Ward 2 Kammalankulam Ward 3 Quary Colony 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,21.36075949367089
153,Back Side  Building West Portion Kammalankulam.,Panchayat  Union Middle  School,1.Ward 2 Kammalankulam 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,5.664488017429194
154,Thiruppanikarisalkulam.,"Panchayat  Union Middle  School,  New Building,  WestPortion","1.Ward 2 Vadakkur  Mela Paguthi
2.Ward 2 Muppidathiamman Kovil  Street
3.Ward 2 Selvi  Nagar 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,14.93383742911153
155,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,"1.Ward 2 Selvi  Amman Kovil  Street
2.Ward 4 Maravar  Nadar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,3.571428571428571
156,Thiruppanikarisalkulam,"Panchayat  Union Middle  School,  Tiled Building ,East Portion","1.Ward 1 Yadavar  West  Street
2.Yadavar  East  Street
3.South Harijan Colony North Side
4.South Harijan Colony South Side
5.Adidiravidar  Colony. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,3.348729792147806
161,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,"1.Ward 2 Muthankulam
2.Ward 2 Vellalankulam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,23.93700787401575
163,Panchayat  Union Primary School  Vettuvankulam,Panchayat  Union Primary School  Vettuvankulam,1.Ward 1 Vettuvankulam Krishnaperi 999.  OVERSEAS ELECTORS,dravida munnetra kazhagam,14.23076923076923
164,East  Side   Seethaparpanallur.,"Panchayat  Union Primary School,  New Building West Portion","1.Ward 1 Mela Street  MelaKaruvanallur
2.Ward 1 Amman Kovil  North Street
3.Ward 1 Amman Kovil  Middle  Street
4.Ward 1 Amman Kovil  East  Street
5.Ward 1 Amman Kovil  Street  Kangeyankulam
6.AD Colony-Kangeyankulam
7.Ward 1 Veda Kovil  Street
8.Ward 1 Middle  Street  Velarkulam
9.Ward 1 Pillaiyar  Kovil  Street  Velarulam
10.Ward 1 Perumal  Kovil  Street  Velarkulam
11.Ward 1 South Street  Velarkulam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,30.97762073027091
169,Melakkallur.,Panchayat  Union Primary School,"1.Ward 1,2 Melakallur  Gangatharan North Street  (Agraharam),
2.Ward 3 Harijan Kudiyiruppu. 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,12.79887482419128
198,Narasinganallur.,"Government  High School,  Barathiyar  Block 2 West  Building","1.Ward 2 Mellur
2.Ward 2 Jeeva Nagar 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,11.02362204724409
200,Karunkadu.,Panchayat  Union Primary School,"1.Ward 1 Veda Kovil  Street
2.Ward 1 Muppidathiamman Kovil  South Street
3.Ward 1 Muppidathiamman Kovil  Middle  Sreet
4.Ward 1 Muppidathiamman Kovil  North Street
5.Ward 1 A.D.Colony West  Side
6.Ward 1 A.D.Colony East  Side
7.Ward 1 Mupidathiamman Kovil  PR East  Street
8.Ward 2 Thangamman Kovil  Street
9.Ward 2 Muppidathiamman Kovil  West  Street 10Ward 2 Perumal  Kovil  West  Street
11.Ward 2 Narayanasamy Kovil  West  Street
999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,1.083032490974729
239,Pettai.,"Corporation Primary School,  15,  lajapathi  Nagar, Malaiyalamedu","1.Ward 22 Anjaneyar  Street
2.Ward 22 Ram Nagar
3.Ward 22 Malaiyal  Medu Lajapathi  Nagar
4.Ward 22 Kalungadi  Street
5.Ward 22 Tiruvalluvar  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,4.368932038834951
262,Nivedhita Matric Hr  Sec School  West  Portion South Side,Nivedhita Matric Hr  Sec School  West  Portion South Side,"1.Ward 17Sartharpuram North Street
2.Ward 17 Sartharpuram Middle  Street
3.Ward 17 Sartharpuram South Street
4.Ward 17 Sartharpuram East  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,13.26291079812207
296,Tirunelveli  Town.,"Manthiramoorthi  Hr.Sec.School,  Southern Portion,  Railway Feeder  Road","1.Ward 26 Baba North Street
2.Ward 26 Madathan Kudiyiruppu
3.Ward 26 Railway Feeder  Road
4.Ward 26 Baba South Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,11.42857142857143
327,Tirunelveli  Town.,"S.T.C.  Puttarathi  Primary School,  East  Building,  West Portion,  Puttarathiamman Kovil  Street","1.Ward 15 Puttarathiamman Kovil  Street
2.Ward 15 Puttarathiamman Kovil  Street  2. 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,12.26575809199319
339,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,"1.Ward 15 Nallakutti  Kudiyiruppu North Street
2.Ward 15 Nallakutti  Kudiyiruppu Patcheri
3.Ward15 Muppidathiamman Kovil  North Street
4.Ward 15 Sankarankovil  Road 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,17.0
342,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,"1.Ward 15 Harijana Perumal  Kovil  Street
2.Ward 15 Harijana Ganesan Kovil  Street
3.Ward 15 Devar  South Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,16.16541353383458
344,Chathirampudukulam,VAO Office,"1.Ward 14 Theneerkulam Pajanaimada Street
2.Ward 14 Theneerkulam Paul  Pannai  Street
3.Ward 14 Theineerkulam South Street  (Vadapuram). 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,4.933586337760911
345,Thachanallur.,"T.D.T.A Primary School,  North Portion","1.Ward 14 Theneerkulam North Street
2.Ward   14 Theneerkulam Lane  Street
3.Ward 14 Ekkaliammn Kovil  Street
4.Ward 13 Kiramasavadi  Street  (West  Portion)
5.Ward 13 Kiramasavadi  East  Section
6.Ward 13 Thalavaipuram School  Street
7.Ward 13 Gangaiamman Kovil  Street
8.Ward 13 Perumal  Kovil  South Street
9.Ward 14 Krishnan Kovil  North Street 10Ward 14 Theneerkulam New Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,12.02346041055718
346,Thachanallur.,"Panchayat  Union Primary School,  Main Building,  West Portion","1.Ward 14 Periyaamman Kovil  Street
2.Ward 1 Seeniyappanthiruthu West  Street
3.Ward 1 Balpannai  Street
4.Ward 1 Middle  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,15.66484517304189
347,Coporation Primary School  Centre  Portion Thachanallur,Coporation Primary School  Centre  Portion Thachanallur,"1.Ward 1 North Street
2.Ward 14 Muthumariamman Kovil  Street
3.Ward 14 Durgaiamman Kovil  Street
4.Ward 14 Tirunelveli  Town Road Vadapaguthy
5.Ward 14 Tirunelveli  Town Road Vadapagam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,19.45945945945946
357,Oorudaiyar Kudieruppu.,"Panchayat  Union Middle  School,  West  Portion","1.Ward 14 East  Oorudaiyarkudieruppu Ist  Street
2.Ward 14 East  Oorudaiyarkudieruppu IInd Street
3.Ward 14 East  Oorudaiyarkudieruppu IIIrd Street
4.Ward 14 East  Oorudaiyarkudieruppu Thenvadal  Puthumanai  Street
5.Ward 14 West  Oorudaiyarkudieruppu Ist  Street  New Colony
6.Ward 14 West  Oorudaiyarkudieruppu 2st  Street  New Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,4.634581105169341
358,Tirunelveli  Corporation Thachanallur  Zone  Integrated Child Development   Project   Children's Centre  Number  - 33628060216 Oorudaiyankudieruppu .,Tirunelveli  Corporation Thachanallur  Zone  Integrated Child Development   Project   Children's Centre  Number  - 33628060216 Oorudaiyankudieruppu .,"1.Ward 14 West  Oorudaiyarkudieruppu West  Street
2.Ward 14 West  Oorudaiyarkudieruppu South Street
3.Ward 14 Komba Madasamy Kovil  Street
4.Ward 14 Sivasakthi  Road First  South Street
5.Ward14 West  Ooorudaiyarkudieruppu Middle  Street  (Lane  Street)
6.Ward 14 West  Oorudaiyarkudieruppu Middle  Street  Amman Kovil South Street
7.Ward 14 Oorudaiyarkudieruppu North Street  (Amman Kovil  North Street)         8.Ward 14 Sivasakthi  Road 2nd South Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,5.663716814159292
374,Karaieruppu.,"Ayyasamy Memorial  Middle  School,  North Centre  Portion","1.Ward 2 Sundarapuram First  Street
2.Ward 2 Sundarapuram Second Street
3.Ward 2 Sundarapuram Third Street
4.Ward 2 Sundarapuram Fouth Street
5.Ward 2 Sundarapuram Fifth Street
6.Ward 2 Chettikulam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,5.555555555555555
378,Senthimangalam.,"Harijan Primary School,  North Block","1.Ward 3 North Harijan Street  (Perumal  Kovil  Street)
2.Ward 3 Maravar  Street  (Pillaiyar  Kovil  Street)
3.Ward 3 Pillaimar  Chellapandi  Nagar. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,12.09239130434783
383,Udaiyarpatti.,"Renganathan Corporation Primary School,  North Building, East  Portion,  First  Room","1.Ward 12 Udaiyarpatti  Aatrankarai  Road
2.Ward 12 Kamatchiamman Kovil  Street
3.Ward 12 Panneerselvam Street
4.Ward 12 Gokulam Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,4.838709677419355
