Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
8,1st  Room Vagaikulam.,"1.Balastheenapuram And Vagaigulam
2.Maruthappapuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,12,2.10896309314587
15,Azhahiyapandipuram,"1.Ward 3 Perumal  Sannathi  Street
2.Ward 3 Pillaimar  Street
3.Ward 3 Muthu Ramalinga Devar  Street
4.Ward 3 Nadu Street
5.Ward 3 North Street
6.Ward 3 Thillai  Natarajar  Street
7.Ward 3 Main Road
8.Ward 4 Indira Memorial  Colony 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,2,0.4166666666666667
16,Azhahiyapandipuram,"1.Ward 4 Main Road
2.Ward 4 Ukkirankottai  Street
3.Ward 4 Amman Sannathi  Street
4.Ward 4 Pillaiyar  Kovil  Street
5.Ward 4 Sathya Street
6.Ward 4 Tenvadal  Street
7.Ward 4 Amman Kovil  Street
8.Ward 4 Vedhalam Kovil  Street
9.Ward 4 Church North Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,13,2.021772939346812
19,Erandum Chollan.,"1.Irandum Sollan Pillaiyar  Kovil  Street
2.Block 1 Odai  Street
3.Block 1 Amman Kovil  Street
4.Block 1 Perumal  Kovil  Street
5.Block 1 Adi  Diravidar  Street
6.Block 2   Indira Ninaivu Kudieruppu
7.Block 2 North Street
8.Block 12 Church Street
9.Block 12 Church South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,dravida munnetra kazhagam,26,3.768115942028986
23,Melapillaiyarkulam.,"1.Santhanamariyamman Kovil  Street  & Main Road
2.Ambedkar  Nagar
3.Ambedkar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,15,3.289473684210526
26,East  Portion Nadupillaiyarkulam,"1.Block 4 North Street
2.Amman Kovil  North Street
3.Amman Kovil  South Street
4.Main Road & Adi  Diravidar  Kudiyeruppu. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,28,4.3343653250774
27,Therkku Sezhiyanalloor.,"1.Pillaiyar  Kovil  Street,  Amman Kovil  Street  Keelpagam
2.Sorimadasamy Kovil  Street
3.Urudhumadasamy Kovil  Street
4.Urudhumadasamy Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,22,3.866432337434095
32,Mettupirancheri.,"1.Block 2 Amman Kovil  Street
2.Block 2 Middle  Street
3.Block 2 South Street
4.Block 2 Colony Street
5.Block 3 Pirancheri  Kaspa 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,41,4.840613931523023
36,Rajapathy,"1.Ward 9 Kannan Kovil  Street
2.Ward 10 Paul  Pannai  Street
3.Ward 10 Azagu Muthu Nagar 999.OVERSEAS ELECTORS",naam tamilar katchi,tamilaga vettri kazhagam,15,2.311248073959938
39,(East  building) Gangaikondan,"1.Ward 1 Amman Sannathi  Street
2.Ward 11 Kaspa Kammalar  Quarters 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,20,3.787878787878788
44,Anaithalaiyur.,"1.Block 5 Mupudathiamman Kovil  East  Street
2.Church Street
3.Marukkudi  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,5,0.8802816901408451
47,Duraiyoor,"1.Street  No 5
2.Street  No 6
3.West  Portion Street  No 7
4.Street  No 8
5.Street  No 9
6.Street  No 10 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,3,0.5102040816326531
48,Papaiyapuram,"1.Block 4 Pappaiyapuram
2.Block 5 Shunmugapuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,26,4.529616724738676
49,Pathinalamperi.,"1.Block 1 Ramachandrapuram
2.Block 2 Alangaraperi  Melur  Keelur
3.Pathinalamperi 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,6,0.7237635705669482
57,Rajavallipuram.,"1.Maravar  Colony 1,2,3,4 Street
2.Harijan Quarters
3.1,2,3 East  West  Street
4.East  West  Street  Sathan Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,22,3.09423347398031
59,Rajavallipuram.,"1.Ward 4 Nadar  Amman Kovil  Street
2.Ward 5 East  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,8,1.388888888888889
60,Rajavallipuram.,"1.Ward 6 West  Street
2.Ward 7 Petchiamman Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,6,0.8941877794336811
61,Naranammalpuram..,"1.Ward 4 Arukankulam Amman Kovil  Street
2.Ward 4 Arukankulam Post  Office  Street
3.Ward 4 Devar  Big Street  (Etteluthu Perumal  Kovil  Street)
4.Ward 4 Naranammalpuram Akraharam Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,6,1.123595505617978
65,Naranammalpuram.,"1.Vannanpacheri  Maravar  Periya Street
2.Vannanpacheri  Periya Street  Harijan South Street
3.Puthunagar  Harijan South Street
4.Puthunagar  Harijan North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,22,3.846153846153846
77,2nd Rooms Sankarnagar.,"1.Ward 9 Ram Nagar
2.Ward 8 Purachi  Thalaivi  Jeyalalitha Nagar
3.Ward 7 Ukkiran Nagar. 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,7,1.498929336188437
78,West  Side  Sankarnagar.,1.Ward 8 Circle  Office  Street  (Devalaya Street) 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,tamilaga vettri kazhagam,15,4.132231404958678
80,2nd Room Chathramkudieruppu.,"1.Ward 11 Santhanakumari  Illam
2.Ward 10 Pasumpon Nagar  Ist  Street
3.Ward 10 Pillaiyar  Kovil  West  Street
4.Ward 10 Pillaiyar  Kovil  Street
5.Ward 10 Pillaiyar  Kovil  East  Street,  Ist  Street,  IInd Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,25,4.29553264604811
82,Near  HM Room Sankar  Nagar.,"1.Ward 1 Thathanoothu Second Street
2.Ward 2 Indira Nagar
3.Ward 4 Pandarakulam Fourth Street
4.Ward 4 Pandarakulam Fifth Street
5.Ward 4 Mahalakshmi Amman Kovil  Street
6.Ward 4 Nadar  Street
7.Ward 4 Chettiyar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,27,4.615384615384616
86,Sankar  Nagar.,"1.Ward 11 Church Street
2.Ward 11 Arunthiyar  Colony 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,20,4.048582995951417
88,Sankar  Nagar.,"1.Ward 5 Police   Colony
2.Ward 5 Railway Colony
3.Ward 7 Manis Colony
4.Ward 7 Narayananagar
5.Ward 5,6 India Cement  Old Colony
6.Ward 7 Narayananagar  First  Street
7.Ward 7 Narayananagar  Second Street
8.Ward 7 Narayananagar  Third Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,5,1.149425287356322
98,Keelathenkalam.,"1.Block 2 Periyar  Nagar
2.Block 1 Velar  Street
3.Block 10 Post  Office  Street
4.Block 10 Mudukku Street
5.Block 11 Middle  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,1,0.1497005988023952
102,Government  ADW Primary School  Nallammalpuram,"1.Nallammalpuram
2.Gandhi  Nagar
3.Block 1 Puliankottaram North Street,  Middle  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,19,2.599179206566347
130,Pudur.,"1.Ward 1 Pillaiyar  Kovil  Street
2.Ward 1 Bharathiyar  North Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,36,4.884667571234735
133,Vallavankottai.,"1.Ward 1 Mariamman Kovil  Street
2.Ward 1 Amman Kovil  Street
3.Ward 1,2 Middle  Street
4.Ward 2 Puliyamara Street
5.Ward 2 Oorachimandra Street
6.Ward 2 Colony Street
7.Ward 2 West  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,17,3.373015873015873
139,Sethurayanpudur.,"1.Ward 1 North Street  Devar  Paguthy
2.Ward 1 North Street
3.Ward 2 Selvanayagam Street
4.Ward 1 South Street
5.Ward 1 Nadar  Street
6.Ward 1 Kaspa Middle  Street
7.Ward 2 Adidiravidar  Colony
8.Industrial
9.Main Road 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,28,3.982930298719772
140,Nanjankulam.,"1.Pillaiyar  Kovil  Street
2.North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,11,1.97841726618705
151,East  Side  Kammalankulam.,1.Ward 1 Abishekapatti 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,dravida munnetra kazhagam,17,4.607046070460704
155,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,"1.Ward 2 Selvi  Amman Kovil  Street
2.Ward 4 Maravar  Nadar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,27,3.571428571428571
156,Thiruppanikarisalkulam,"1.Ward 1 Yadavar  West  Street
2.Yadavar  East  Street
3.South Harijan Colony North Side
4.South Harijan Colony South Side
5.Adidiravidar  Colony. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,29,3.348729792147806
157,Sri  Nivedhita Nursery & Primary School Thiruppanikarisalkulam   Road Pettai,1.Ward 18 Anna Nagar 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,dravida munnetra kazhagam,25,4.646840148698884
158,Thiruppanikarisalkulam,1.Ward 18 Vagaikulam. 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,dravida munnetra kazhagam,3,0.8902077151335311
167,Sankanthiradu.,"1.Ward 1 Sankanthiradu North Street
2.Sankanthiradu Middle  Street  Amman Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,6,0.9104704097116844
182,South Portion Hall  No.  4 Suthamalli.,"1.Ward 3 Yadavar  West  Street
2.Ward 4 Kovil  Pathu Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,35,3.972758229284903
184,Panchayat  Office  Suthamalli,"1.Ward 4 Vadakkur  Anna Nagar
2.Ward 4 Kovil  Pathu Street
3.Ward 4 Mela Gramam
4.Ward 4 Keela Gramam 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,4,0.7476635514018692
185,Community Hall  West  Portion V O C Nagar  Suthamalli,1.Ward 4 V.O.C Nagar. 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,dravida munnetra kazhagam,13,1.688311688311688
188,Suthamalli.,1.Ward 2 Bharathiyar  Nagar 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,dravida munnetra kazhagam,12,2.777777777777778
196,Narasinganallur.,"1.Ward 4 Kamachiamman Kovil  Street
2.Muppidatahiamman Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,9,1.939655172413793
200,Karunkadu.,"1.Ward 1 Veda Kovil  Street
2.Ward 1 Muppidathiamman Kovil  South Street
3.Ward 1 Muppidathiamman Kovil  Middle  Sreet
4.Ward 1 Muppidathiamman Kovil  North Street
5.Ward 1 A.D.Colony West  Side
6.Ward 1 A.D.Colony East  Side
7.Ward 1 Mupidathiamman Kovil  PR East  Street
8.Ward 2 Thangamman Kovil  Street
9.Ward 2 Muppidathiamman Kovil  West  Street 10Ward 2 Perumal  Kovil  West  Street
11.Ward 2 Narayanasamy Kovil  West  Street
999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,dravida munnetra kazhagam,6,1.083032490974729
201,Pettai  Rural.,"1.Ward 1 Mailappapuram South Street
2.Ward 1 Mailappapuram North Street
3.Ward 1 Malayalamedu A.D.Colony West  Street
4.Ward 1 Malayalamedu A.D.Colony East  Street
5.Ward 1 Miyankan Thaikka South Street
6.Ward 1 Miyankan Thaikka North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,13,3.693181818181818
210,Tirunelvelli.,"1.Industrial  Colony
2.Ward 19 Teachers Colony Pettai
3.Ward 19Thiruvallurvar  Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,9,2.662721893491125
216,Kamaraj  Municipal  Higher  Secondary School  New Building West  Side  South Portion   Pettai,"1.Ward 18 Lalbhadursasthri  Nagar                9
99.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,4,1.058201058201058
219,Pettai.,1.Ward 19 Puthu Giramam Sundravinayagarkovil  North Street 999.OVERSEAS ELECTORS,tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,8,2.259887005649718
