serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
15,165,28,103,0,0,0,0,1,163,0,15,0,0,0,2,1,2,0,0,0,480,0,1,481,0,"T.D.T.A Primary School,  Eastern Portion, Azhahiyapandipuram","1.Ward 3 Perumal  Sannathi  Street
2.Ward 3 Pillaimar  Street
3.Ward 3 Muthu Ramalinga Devar  Street
4.Ward 3 Nadu Street
5.Ward 3 North Street
6.Ward 3 Thillai  Natarajar  Street
7.Ward 3 Main Road
8.Ward 4 Indira Memorial  Colony 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  Eastern Portion",Azhahiyapandipuram,all india anna dravida munnetra kazhagam,165,163,2,tamilaga vettri kazhagam,1,4,3,9,9,7,2,9,9,9,5,7,5,9,9,9,0.4166666666666667,5
16,156,28,198,0,0,1,0,1,211,3,41,0,1,0,1,1,1,0,0,0,643,0,3,646,0,"T.D.T.A Primary School,  Middle  Part,   Azhahiyapandipuram","1.Ward 4 Main Road
2.Ward 4 Ukkirankottai  Street
3.Ward 4 Amman Sannathi  Street
4.Ward 4 Pillaiyar  Kovil  Street
5.Ward 4 Sathya Street
6.Ward 4 Tenvadal  Street
7.Ward 4 Amman Kovil  Street
8.Ward 4 Vedhalam Kovil  Street
9.Ward 4 Church North Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  Middle  Part",Azhahiyapandipuram,tamilaga vettri kazhagam,211,198,13,dravida munnetra kazhagam,3,4,2,10,10,5,1,10,5,10,5,5,5,10,10,10,2.021772939346812,4
17,150,44,120,3,0,0,0,3,185,1,2,0,0,0,0,1,6,0,0,1,516,0,0,516,0,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,"1.Ward 2 Chettikurichi  North Street  1
2.Ward 2 Chettikurichi  South Street
3.Ward 2 Chettikurichi  North Street  2
4.Ward 2 Arunthathiyar  Street
5.Ward 2 Arunthathiyar  South Street
6.Ward 2 Samathuvapuram Road
7.Ward 2 Periyar  Samathuvapuram
8.Ward 2 Near  Periyar  Samamathuvapuram
9.Ward 2 Main Road
10.Ward 2 Punjai  Thottam 999.  OVERSEAS ELECTORS",General,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,tamilaga vettri kazhagam,185,150,35,all india anna dravida munnetra kazhagam,2,4,3,6,10,6,1,10,10,10,10,8,5,10,10,8,6.782945736434108,8
18,121,69,261,3,1,1,0,1,196,0,33,1,0,1,0,0,2,1,3,2,696,0,4,700,0,"T.D.T.A Primary School,  Western Portion, Azhahiyapandipuram.","1.Ward 5 Kamarajar  East  Street
2.Ward 5 Church Street
3.Ward 5 Church South Street
4.Ward 5 Kamarajar  Street
5.Ward 5 Anna Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  Western Portion",Azhahiyapandipuram.,dravida munnetra kazhagam,261,196,65,tamilaga vettri kazhagam,3,4,1,5,9,9,2,9,14,9,14,14,7,9,5,7,9.339080459770114,10
19,202,98,176,2,1,0,1,2,165,1,28,4,0,0,6,0,2,2,0,0,690,0,3,693,0,"T.D.T.A Primary School,  North Portion South Faced, Erandum Chollan.","1.Irandum Sollan Pillaiyar  Kovil  Street
2.Block 1 Odai  Street
3.Block 1 Amman Kovil  Street
4.Block 1 Perumal  Kovil  Street
5.Block 1 Adi  Diravidar  Street
6.Block 2   Indira Ninaivu Kudieruppu
7.Block 2 North Street
8.Block 12 Church Street
9.Block 12 Church South Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  North Portion South Faced",Erandum Chollan.,all india anna dravida munnetra kazhagam,202,176,26,dravida munnetra kazhagam,1,4,2,7,11,7,3,6,12,12,5,12,7,7,12,12,3.768115942028986,14
20,35,109,269,3,2,0,0,1,191,0,0,0,0,1,1,1,3,0,1,3,620,0,3,623,0,"T.D.T.A Primary School,  Western Portion,  Kattarankulam.","1.Block 4 Nadar  Street,  Adi  Diravidar  Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  Western Portion",Kattarankulam.,dravida munnetra kazhagam,269,191,78,tamilaga vettri kazhagam,4,3,1,5,8,9,2,14,14,9,9,9,5,14,9,5,12.58064516129032,10
21,42,68,111,0,0,1,0,1,138,0,1,1,1,0,1,1,2,1,2,2,373,0,5,378,0,"T.D.T.A Primary School,  East  Portion,  Kattarankulam.","1.Block 3 Devar  Street,  Nadar  Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  East  Portion",Kattarankulam.,tamilaga vettri kazhagam,138,111,27,dravida munnetra kazhagam,4,3,2,14,14,8,1,8,8,14,8,8,5,8,5,5,7.238605898123325,11
22,268,140,121,3,0,0,1,0,158,1,3,1,0,1,3,1,7,0,0,1,709,0,0,709,0,"Panchayat  Union Primary   School,  Middle  Portion,  North Building,  Melapillaiyarkulam.","1.Block 1 Akraharam North Street
2.Akraharam South Street
3.Block 6 Kaspa Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary   School,  Middle  Portion,  North Building",Melapillaiyarkulam.,all india anna dravida munnetra kazhagam,268,158,110,tamilaga vettri kazhagam,1,3,4,6,12,12,2,8,12,8,6,8,5,12,12,8,15.5148095909732,14
23,136,51,95,2,1,2,0,0,151,0,1,0,0,1,3,3,4,1,4,1,456,0,3,459,0,"Panchayat  Union Primary School,Western Portion SSA New Building,  Melapillaiyarkulam.","1.Santhanamariyamman Kovil  Street  & Main Road
2.Ambedkar  Nagar
3.Ambedkar  Colony 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,Western Portion SSA New Building",Melapillaiyarkulam.,tamilaga vettri kazhagam,151,136,15,all india anna dravida munnetra kazhagam,2,4,3,9,10,14,1,14,14,10,7,7,5,10,5,10,3.289473684210526,17
24,197,28,73,0,0,0,0,0,116,0,0,0,0,0,1,0,2,0,1,0,418,0,1,419,0,"Gandhiji  Vidhyalaya Hindu Primary School,  East  Part, Keelapillaiyarkulam.","1.North Street
2.Middle  Street
3.Karuppasamy Kovil  Street 999.  OVERSEAS ELECTORS",General,"Gandhiji  Vidhyalaya Hindu Primary School,  East  Part",Keelapillaiyarkulam.,all india anna dravida munnetra kazhagam,197,116,81,tamilaga vettri kazhagam,1,4,3,8,8,8,2,8,8,8,6,8,5,8,6,8,19.37799043062201,4
25,332,55,104,1,0,4,0,0,206,0,1,1,0,0,1,4,5,2,0,0,716,0,1,717,0,"Gandhiji  Vidhyalaya Hindu Primary School,  West  Part, Keelapillaiyarkulam.","1.South Street
2.Dhanuskodi  Nagar
3.Kurichi  Nagar. 999.OVERSEAS ELECTORS",General,"Gandhiji  Vidhyalaya Hindu Primary School,  West  Part",Keelapillaiyarkulam.,all india anna dravida munnetra kazhagam,332,206,126,tamilaga vettri kazhagam,1,4,3,8,11,11,2,8,11,11,8,6,5,7,11,11,17.59776536312849,13
26,195,60,223,1,0,0,0,2,100,0,56,0,0,2,2,1,2,1,0,1,646,0,0,646,0,"Panchayat  Union Primary School,    East  Portion Nadupillaiyarkulam","1.Block 4 North Street
2.Amman Kovil  North Street
3.Amman Kovil  South Street
4.Main Road & Adi  Diravidar  Kudiyeruppu. 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,East  Portion Nadupillaiyarkulam,dravida munnetra kazhagam,223,195,28,all india anna dravida munnetra kazhagam,2,4,1,9,13,5,3,13,13,5,5,9,5,9,13,9,4.3343653250774,9
27,171,93,83,2,0,4,0,4,193,0,1,0,1,3,3,3,6,1,1,0,569,0,3,572,0,"Hindu Primary School,  Therkku Sezhiyanalloor.","1.Pillaiyar  Kovil  Street,  Amman Kovil  Street  Keelpagam
2.Sorimadasamy Kovil  Street
3.Urudhumadasamy Kovil  Street
4.Urudhumadasamy Kovil  Street 999.OVERSEAS ELECTORS",General,Hindu Primary School,Therkku Sezhiyanalloor.,tamilaga vettri kazhagam,193,171,22,all india anna dravida munnetra kazhagam,2,3,4,10,14,6,1,14,11,7,7,7,5,11,11,14,3.866432337434095,18
28,104,38,56,0,0,2,0,0,127,0,0,0,0,2,1,1,0,0,0,2,333,0,1,334,0,Community Hall  South Sezhiyanalloor.,"1.Madasamy Kovil  Street,  Sori  Madasamy Kovil  Street
2.Pillaiyar  Kovil  Street,  Sethupathy Nagar
3.Sorimuthu Nagar,  South Stree 999.OVERSEAS ELECTORS",General,Community Hall  South Sezhiyanalloor.,Community Hall  South Sezhiyanalloor.,tamilaga vettri kazhagam,127,104,23,all india anna dravida munnetra kazhagam,2,4,3,9,9,9,1,9,9,5,7,7,9,9,9,5,6.906906906906906,6
29,221,33,108,1,0,0,1,5,337,3,1,0,0,1,3,3,3,0,0,0,720,0,3,723,0,"Panchayat  Union primary School,  South Portion Vadakku Sezhiyanalloor.","1.Block 1 Krishnan Kovil  Street
2.Block 2 South Street
3.Block 3 North Street
4.North Street  Gandheeswaram Puthur
5.East  Street
6.Middle  Street
7.Esakkiammal  Kovil  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union primary School,South Portion Vadakku Sezhiyanalloor.,tamilaga vettri kazhagam,337,221,116,all india anna dravida munnetra kazhagam,2,4,3,9,11,5,1,11,11,9,6,6,6,11,11,11,16.11111111111111,10
30,70,26,127,5,0,2,2,4,230,1,133,3,0,1,3,2,0,2,0,0,611,0,4,615,0,"Panchayat  Union primary School,  North Portion Vadakku Sezhiyanalloor.","1.Thiruvalluvar  Street
2.Vijayan Nagar
3.Adi  Diravidar  Kudiyiruppu
4.Adi  Diravidar  Colony
5.Keela Sezhiyanallur  Kaliamman Kovil  Street
6.Saradha Nagar
7.Durgaiamman Kovil  Street
8.Pillaiyar  Kovil  Street
9.Vasagasalai  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union primary School,North Portion Vadakku Sezhiyanalloor.,tamilaga vettri kazhagam,230,127,103,dravida munnetra kazhagam,3,4,2,5,12,6,1,7,12,11,7,9,12,9,12,12,16.85761047463175,11
31,168,86,121,1,0,8,0,1,303,0,2,0,2,2,3,2,3,1,2,0,705,0,1,706,0,"Panchayat  Union Primary School,  North Building,  Ithikulam.","1.Perumal  Kovil  Street
2.School  Street
3.Amman Kovil  Street
4.Colony Street
5.Chittampacheri 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  North Building",Ithikulam.,tamilaga vettri kazhagam,303,168,135,all india anna dravida munnetra kazhagam,2,4,3,11,14,11,1,14,7,7,5,7,5,11,7,14,19.14893617021277,15
32,35,37,146,5,1,3,1,0,187,2,421,2,1,1,1,0,1,2,1,0,847,0,3,850,0,"Panchayat  Union Middle  School,  West  old Building, Mettupirancheri.","1.Block 2 Amman Kovil  Street
2.Block 2 Middle  Street
3.Block 2 South Street
4.Block 2 Colony Street
5.Block 3 Pirancheri  Kaspa 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  West  old Building",Mettupirancheri.,tamilaga vettri kazhagam,187,146,41,dravida munnetra kazhagam,4,3,2,5,8,14,1,6,8,8,8,14,8,6,8,14,4.840613931523023,9
33,161,45,117,3,2,1,0,8,259,4,3,2,0,3,3,3,2,1,3,2,622,0,4,626,0,"Panchayat  Union Middle  School,  Three  Class Room Building,  VIII Standard Class Room,   Venkatachalapuram.","1.Block 4 Venkatachalapuram North Street
2.Block 5 Venkatachalapuram Middle  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  Three  Class Room Building,  VIII Standard Class Room",Venkatachalapuram.,tamilaga vettri kazhagam,259,161,98,all india anna dravida munnetra kazhagam,2,4,3,6,11,5,1,11,16,6,6,6,11,15,6,11,15.7556270096463,19
34,127,18,100,3,0,2,0,3,184,0,1,0,0,1,9,0,0,1,2,4,455,0,3,458,0,"Panchayat  Union Middle  School,  Three  Class Room Building,  VI Standard Class Room,   Venkatachalapuram.",1.Block 6 Venkatachalapuram Krishnan Kovil  Street 999.OVERSEAS ELECTORS,General,"Panchayat  Union Middle  School,  Three  Class Room Building,  VI Standard Class Room",Venkatachalapuram.,tamilaga vettri kazhagam,184,127,57,all india anna dravida munnetra kazhagam,2,4,3,7,12,7,1,12,12,10,5,12,12,10,9,6,12.52747252747253,17
35,206,128,116,2,0,0,0,1,141,0,0,0,0,0,2,3,2,1,0,1,603,0,1,604,0,"Paranthaman Hindu Primary School,  New Building ,  West Partition,  Rajapathy","1.Ward 9 Utchimahaliamman Kovil  Street
2.Ward 10 Utchimahaliamman Kovil  West  Street 999.OVERSEAS ELECTORS",General,"Paranthaman Hindu Primary School,  New Building ,  West Partition",Rajapathy,all india anna dravida munnetra kazhagam,206,141,65,tamilaga vettri kazhagam,1,3,4,6,12,9,2,12,12,12,6,5,6,9,12,9,10.77943615257048,9
36,136,190,135,1,1,0,0,2,175,0,0,0,0,0,1,2,2,4,0,0,649,0,4,653,0,"Paranthaman Hindu Primary School,  New Building ,  East Partition,  Rajapathy","1.Ward 9 Kannan Kovil  Street
2.Ward 10 Paul  Pannai  Street
3.Ward 10 Azagu Muthu Nagar 999.OVERSEAS ELECTORS",General,"Paranthaman Hindu Primary School,  New Building ,  East Partition",Rajapathy,naam tamilar katchi,190,175,15,tamilaga vettri kazhagam,3,1,4,9,9,6,2,12,12,12,9,6,6,5,12,12,2.311248073959938,9
37,85,27,67,4,1,1,0,1,235,1,152,2,0,3,5,2,1,2,6,3,598,0,4,602,0,"Panchayat  Union Primary School,  Paruthikulam.","1.Nehru Nagar
2.North Street
3.South Street
4.Adi  Diravidar  Colony 1
5.West  Street
6.Arunthathiyar  Street
7.Adi  Diravidar  Colony 2
8.Karisalkulam Colony
9.New Houses 1st  Ward 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,Paruthikulam.,tamilaga vettri kazhagam,235,85,150,all india anna dravida munnetra kazhagam,2,4,3,7,13,13,1,10,16,8,6,10,13,10,5,8,25.08361204013378,24
38,221,19,92,0,1,4,0,0,123,0,2,0,0,0,2,0,3,1,0,1,469,0,5,474,0,"Panchayat  Union Primary School,  East  Building,  Northern Part,  Gangaikondan.",1.Block 12 Kaspa Perumal  Sannathi  Street 999.OVERSEAS ELECTORS,General,"Panchayat  Union Primary School,  East  Building,  Northern Part",Gangaikondan.,all india anna dravida munnetra kazhagam,221,123,98,tamilaga vettri kazhagam,1,4,3,10,7,10,2,10,10,10,6,10,5,7,10,7,20.8955223880597,7
39,211,13,94,0,0,5,1,1,191,1,4,0,0,0,1,3,2,0,1,0,528,0,0,528,0,"Government  Higher  Secondary School,  (East  building) Gangaikondan","1.Ward 1 Amman Sannathi  Street
2.Ward 11 Kaspa Kammalar  Quarters 999.OVERSEAS ELECTORS",General,Government  Higher  Secondary School,(East  building) Gangaikondan,all india anna dravida munnetra kazhagam,211,191,20,tamilaga vettri kazhagam,1,4,3,10,10,7,2,10,10,10,7,5,6,10,7,10,3.787878787878788,7
40,322,38,126,0,0,5,0,0,186,0,0,0,0,2,1,6,0,1,0,0,687,0,0,687,0,"Panchyat  Union Middle  School,North Portion,  Vadagarai","1.Ward 2 North Street
2.Ward 2 West  Street 999.OVERSEAS ELECTORS",General,"Panchyat  Union Middle  School,North Portion",Vadagarai,all india anna dravida munnetra kazhagam,322,186,136,tamilaga vettri kazhagam,1,4,3,9,9,9,2,9,9,6,7,5,9,7,9,9,19.7962154294032,10
41,247,32,89,0,0,2,0,1,137,0,2,0,0,0,0,5,1,0,1,0,517,0,2,519,0,"Panchyat  Union Middle  School,  South Portion,  Vadagarai",Ward 3 Pillaiyar  Kovil  Street Ward 3 Main Road South Part Ward 4 Marakudi  Street 999.OVERSEAS ELECTORS,General,"Panchyat  Union Middle  School,  South Portion",Vadagarai,all india anna dravida munnetra kazhagam,247,137,110,tamilaga vettri kazhagam,1,4,3,9,9,6,2,9,9,9,9,5,6,9,6,9,21.27659574468085,7
42,63,12,147,3,0,1,1,0,62,1,155,0,0,0,0,1,1,0,1,0,448,0,1,449,0,"R.C.  Primary School,  Western Wing,  Anaithalaiyur.","1.Block 6 Church Street
2.Block 4 Colony Street 999.OVERSEAS ELECTORS",General,"R.C.  Primary School,  Western Wing",Anaithalaiyur.,dravida munnetra kazhagam,147,63,84,all india anna dravida munnetra kazhagam,2,4,1,5,9,9,3,9,9,9,9,6,6,9,6,9,18.75,3
43,79,6,158,2,0,0,0,2,34,0,125,1,1,0,1,1,0,2,4,0,416,0,1,417,0,Community Hall  Anaithalaiyur,1.Block 6 Mupudathiamman Kovil  Street 999.OVERSEAS ELECTORS,General,Community Hall  Anaithalaiyur,Community Hall  Anaithalaiyur,dravida munnetra kazhagam,158,79,79,all india anna dravida munnetra kazhagam,2,4,1,6,13,6,3,9,9,13,9,9,13,6,5,13,18.99038461538461,10
44,128,33,133,2,0,1,0,0,105,0,161,0,1,3,0,1,0,0,0,0,568,0,1,569,0,"R.C.  Primary School,  Eastern Wing,  Anaithalaiyur.","1.Block 5 Mupudathiamman Kovil  East  Street
2.Church Street
3.Marukkudi  Street 999.OVERSEAS ELECTORS",General,"R.C.  Primary School,  Eastern Wing",Anaithalaiyur.,dravida munnetra kazhagam,133,128,5,all india anna dravida munnetra kazhagam,2,4,1,6,9,9,3,9,7,5,9,7,9,9,9,9,0.8802816901408451,5
45,99,36,272,2,1,1,1,0,138,0,170,1,1,1,1,0,2,0,2,2,730,0,3,733,0,T.D.T.A Primary School  Aladipatti,"1.Church Street
2.Ammam Kovil  Street
3.Maravar  Street 4Colony Street
5.Kottaiyadi  Ilangai  Agathigal  Colony (Pappankulam)
999.OVERSEAS ELECTORS",General,T.D.T.A Primary School  Aladipatti,T.D.T.A Primary School  Aladipatti,dravida munnetra kazhagam,272,138,134,tamilaga vettri kazhagam,3,4,1,5,9,14,2,9,9,9,9,14,5,14,5,5,18.35616438356164,10
